,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
3971,False,/qWE206uqSbEXLVATvbB6fUIX8WE.jpg,"[80, 53, 28, 9648]",291805,en,Now You See Me 2,"One year after outwitting the FBI and winning the public’s adulation with their mind-bending spectacles, the Four Horsemen resurface only to find themselves face to face with a new enemy who enlists them to pull off their most dangerous heist yet.",64.137,/A81kDB6a1K86YLlcOtZB27jriJh.jpg,2016-06-02,Now You See Me 2,False,6.827,10539
3972,False,/AeO9xTg9AmshtZtW1JSFGe8ZtGy.jpg,"[27, 53, 18]",116979,en,Chained,"A serial killer kidnaps a young boy after murdering his mother, then raises him to be his accomplice. After years in captivity, the boy must choose between escaping or following in his captor's bloody footprints.",15.546,/4A7t5QmUN0joSZMOSUtbFOrbsTU.jpg,2012-10-02,Chained,False,6.827,462
3973,False,,[],834860,ja,RETURN,8mm work directed by Norihiko Morinaga.,5.222,/5YOSdqwvDLxQiqqQ3KeUNt1ir1L.jpg,1985-01-01,RETURN,False,6.826,413
3974,False,/soxvAxlPTp3ATvvza4jSwzFUUEV.jpg,"[35, 80]",138832,en,We're the Millers,A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.,65.081,/qF2LJ0jwWrtXSuT4AFD5OS2IqaT.jpg,2013-08-07,We're the Millers,False,6.826,8689
3975,False,/1RwWclnfcAcFG5n1qejtKRQDqE3.jpg,"[878, 14]",76535,en,Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,Agent Coulson stops at a convenience store and deals with a coincidental robbery during his visit.,25.502,/njrOqsmFH4pxBrhcoslqLfw2OGk.jpg,2011-10-25,Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,False,6.826,445
3976,False,/vqEX1uF3Spl12rOACQ3gJ6j4MSR.jpg,[27],864370,zh,咒,"Inspired by a true story of a family who believed they were possessed by spirits, this film follows a woman who must protect her child from a curse.  WARNING: This is a cursed video, it might contain certain risks to watch. For those who dares to follow, please solve the puzzle of my daughter's curse with me.",39.231,/c5T4ea5YBNqLbZqOZtieSdQGyem.jpg,2022-03-18,Incantation,False,6.825,607
3977,False,/zJDMuXQDraHjtF53wikmyBQIcYe.jpg,"[12, 35, 14]",353486,en,Jumanji: Welcome to the Jungle,"Four teenagers in detention discover an old video game console with a game they’ve never heard of. When they decide to play, they are immediately sucked into the jungle world of Jumanji in the bodies of their avatars. They’ll have to complete the adventure of their lives filled with fun, thrills and danger or be stuck in the game forever!",49.429,/pSgXKPU5h6U89ipF7HBYajvYt7j.jpg,2017-12-09,Jumanji: Welcome to the Jungle,False,6.824,13336
3978,False,/bW83NQMHtgFIkDSoZBer4eEnc9V.jpg,"[878, 27]",11071,en,Them!,"As a result of nuclear testing, gigantic, ferocious mutant ants  appear in the American desert southwest, and a father-daughter team of entomologists join forces with the state police officer who first discovers their existence, an FBI agent and, eventually, the US Army to  eradicate the menace, before it spreads across the continent — and the world.",21.548,/tP352STF6BvSROi8K3CMM799TVo.jpg,1954-06-16,Them!,False,6.8,401
3979,False,/s1ohP4iE2Lg2TVBJILOkbTsGGgu.jpg,"[18, 28, 53]",630004,en,Way Down,"Madrid, Spain, 2010. While the whole city follows the national team's successful participation in the World Cup, a group of daring thieves look for a way into one of the most secure and guarded places on the planet.",49.145,/kWhXubAiIcHW0xn5GThflqaKZqh.jpg,2021-03-04,The Vault,False,6.827,911
3980,False,/cDEseDgCAYCEUT6q1n0U742X3tZ.jpg,"[28, 35, 878]",2614,en,Innerspace,"Test pilot Tuck Pendleton volunteers to test a special vessel for a miniaturization experiment. Accidentally injected into a neurotic hypochondriac, Jack Putter, Tuck must convince Jack to find his ex-girlfriend, Lydia Maxwell, to help him extract Tuck and his ship and re-enlarge them before his oxygen runs out.",29.886,/A4azclZQjqeQxXvcok3rdUmuq8a.jpg,1987-07-01,Innerspace,False,6.824,1207
3981,False,/zNlvRkace9lOaOFjSBHUmLZ2HpS.jpg,[35],393764,fr,Bienvenue à Marly-Gomont,"1975. When Seyolo Zantoko, a doctor from the Congo who has managed, along with his family, to flee tyranny, is hired by the mayor of a small town in northern France, he begins a struggle to adapt to a new life and gain the trust of the prejudiced villagers.",21.609,/7I7AxQAlvufEg2aWFd2HbS4f47B.jpg,2016-06-08,The African Doctor,False,6.823,635
